"regiao";"sexo";"idade_quinquenal";"raca_cor";"educ_mae";"ocup_mae";"educ_pai";"ocup_pai";"educ";"pessoas";"classesocial";"rendafa";"rendarange";"ocup";"freq_esc";"peso";"peso_pond";"se_trab";"empregados";"estuda_atualmente"
"1";5;1;1;2;3;4110;2;8211;2;6;4;14;14;NA;1;11339,525390625;0,726217567920685;4;0;1
"2";5;1;2;3;2;9994;2;5249;4;6;4;2800;5;NA;1;17322,462890625;1,10938310623169;2;0;1
"3";5;2;1;1;3;9994;3;3321;4;5;3;11000;9;NA;1;15395,76171875;0,985991299152374;2;0;1
"4";5;2;2;1;3;2359;2;9621;4;4;3;4000;6;4416;1;17925,537109375;1,14800572395325;1;1;1
"5";5;1;2;2;1;9111;1;1221;1;1;3;NA;NA;7112;1;15613,9755859375;0,999966382980347;1;1;3
"6";5;1;3;3;2;5312;1;8332;1;2;2;2100;4;4321;1;18320,974609375;1,17333078384399;1;1;3
"7";5;2;3;3;1;9112;2;8189;2;4;3;1700;3;5246;1;19108,169921875;1,22374522686005;1;1;2
"8";5;2;1;3;2;5244;2;3321;2;4;4;14;6;NA;1;11016,390625;0,705523073673248;4;0;1
"9";5;2;2;1;2;4120;3;5249;4;4;4;14;3;3343;1;17925,537109375;1,14800572395325;1;1;1
"10";5;1;2;1;2;5249;3;5223;2;1;3;NA;NA;3422;1;15613,9755859375;0,999966382980347;1;1;2
"11";5;1;2;3;2;9994;1;9211;2;5;4;14;8;5243;1;17322,462890625;1,10938310623169;1;1;3
"12";5;2;3;1;4;2359;3;2144;5;2;4;14;5;2359;1;19108,169921875;1,22374522686005;1;1;2
"13";5;2;1;1;2;9998;3;2519;4;5;4;14;5;NA;1;15395,76171875;0,985991299152374;2;0;3
"14";5;1;1;1;1;2611;99;9998;2;2;4;14;7;NA;1;11339,525390625;0,726217567920685;4;0;1
"15";5;1;3;1;1;5141;3;1330;2;3;4;14;3;3323;1;18320,974609375;1,17333078384399;1;1;2
"16";5;1;1;1;1;9994;1;5223;2;3;4;14;3;7234;1;11339,525390625;0,726217567920685;2;1;1
"17";5;2;3;2;1;9211;2;9994;2;1;3;NA;NA;9111;1;19108,169921875;1,22374522686005;1;1;1
"18";5;2;2;1;99;9211;2;9112;2;3;3;14;3;9111;1;15395,76171875;0,985991299152374;1;1;3
"19";5;1;3;3;1;9994;3;4110;4;3;3;14;7;4416;1;18320,974609375;1,17333078384399;1;1;1
"20";5;2;2;3;1;9111;2;7112;2;6;3;14;4;5223;1;17925,537109375;1,14800572395325;1;1;2
"21";5;1;3;2;1;9111;1;5414;2;3;3;14;4;3119;1;17322,462890625;1,10938310623169;1;1;2
"22";5;2;1;3;99;9111;99;9129;2;10;2;14;2;5243;1;11016,390625;0,705523073673248;4;1;3
"23";5;1;1;2;2;9994;2;7111;2;3;4;14;5;NA;1;15613,9755859375;0,999966382980347;3;0;1
"24";5;1;1;2;1;5120;2;9997;1;3;2;14;14;NA;1;11339,525390625;0,726217567920685;4;0;1
"25";5;1;2;3;2;4226;2;8211;2;2;5;14;4;4311;1;15613,9755859375;0,999966382980347;2;1;1
"26";5;2;1;3;2;9412;1;7125;2;4;3;2000;3;NA;1;11016,390625;0,705523073673248;4;0;1
"27";5;1;2;1;2;3332;1;9995;4;3;4;9000;8;2264;1;17322,462890625;1,10938310623169;1;1;1
"28";5;2;3;3;1;9994;1;1221;2;3;3;2500;4;4312;1;19108,169921875;1,22374522686005;1;1;2
"29";5;2;2;1;1;9211;99;9211;1;3;3;2000;3;9111;1;17925,537109375;1,14800572395325;1;1;3
"30";5;1;3;1;1;9998;99;9995;1;4;3;3400;6;3512;1;18320,974609375;1,17333078384399;1;1;3
"31";5;2;2;3;1;9996;1;9111;1;3;2;14;2;9111;1;15395,76171875;0,985991299152374;2;1;3
"32";5;2;1;2;2;9998;99;9112;2;3;2;678;1;NA;1;15395,76171875;0,985991299152374;2;0;1
"33";5;2;1;3;1;8331;2;7533;2;3;3;678;1;NA;1;11016,390625;0,705523073673248;4;0;1
"34";5;2;3;3;1;8211;1;9112;4;3;4;678;1;NA;1;19108,169921875;1,22374522686005;2;0;1
"35";5;1;1;1;1;7112;1;9112;1;10;2;1800;3;NA;1;15613,9755859375;0,999966382980347;2;0;2
"36";5;1;3;2;1;9998;99;5249;2;10;3;1000;2;NA;1;18320,974609375;1,17333078384399;2;0;2
"37";5;1;1;3;1;5212;1;5120;1;2;3;1300;2;9411;1;11339,525390625;0,726217567920685;1;1;1
"38";5;1;2;1;1;8332;1;5311;2;4;2;2400;4;3354;1;17322,462890625;1,10938310623169;1;1;2
"39";5;2;2;1;1;9998;99;5312;2;7;3;1450;3;NA;1;17925,537109375;1,14800572395325;4;0;1
"40";5;2;2;3;1;7112;1;9994;3;2;2;2500;4;NA;1;15395,76171875;0,985991299152374;2;0;2
"41";5;1;1;1;2;5142;2;7313;2;3;4;14;3;NA;1;11339,525390625;0,726217567920685;3;0;1
"42";5;2;1;4;1;5212;2;5212;2;4;3;2000;3;5212;1;11016,390625;0,705523073673248;1;1;1
"43";5;2;2;1;1;5414;99;5223;2;5;1;1000;2;NA;1;17925,537109375;1,14800572395325;2;0;3
"44";5;1;3;3;2;8332;2;4120;2;3;3;3100;5;7112;1;18320,974609375;1,17333078384399;1;1;2
"45";5;2;3;3;1;9994;1;7131;2;3;3;1200;2;NA;1;19108,169921875;1,22374522686005;2;0;2
"46";5;1;2;3;9;9111;1;5153;1;1;3;NA;NA;7112;1;17322,462890625;1,10938310623169;1;1;3
"47";5;1;2;1;1;1341;1;7115;2;1;2;NA;NA;8321;1;15613,9755859375;0,999966382980347;1;1;2
"48";5;2;2;1;1;9111;1;8332;2;4;2;14;2;4214;1;17925,537109375;1,14800572395325;1;1;3
"49";5;1;1;1;1;9111;1;5414;1;6;3;14;2;NA;1;11339,525390625;0,726217567920685;2;0;1
